Voz,Compasso,Grupos (notas),Peso Métrico,Tensão Prolongacional
Voz 2,6,"C4; F4, G4, F4, E4, F4; D4; G4","3, 1, 1, 1, 1, 2, 1, 1","60.0, 65.0, 67.0, 65.0, 64.0, 65.0, 62.0, 67.0"
Voz 2,7,G4,3,67.0
Voz 2,9,"G4, A4, B4, C5, D5, C5, B4; E5","1, 1, 1, 2, 1, 1, 1, 1","67.0, 69.0, 71.0, 72.0, 74.0, 72.0, 71.0, 76.0"
Voz 2,10,"A4; D5, E5, D5, C5, B4; D4","3, 1, 1, 1, 1, 2, 1","69.0, 74.0, 76.0, 74.0, 72.0, 71.0, 62.0"
Voz 2,11,"E4, F#4, G4, A4, G4, F4; B4; E4; A4","3, 1, 1, 1, 1, 2, 1, 1, 1","64.0, 66.0, 67.0, 69.0, 67.0, 65.0, 71.0, 64.0, 69.0"
Voz 2,12,"A4, B4, A4, G#4, F#4, F4, E4, D4, E4, F#4, G#4","3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1","69.0, 71.0, 69.0, 68.0, 66.0, 65.0, 64.0, 62.0, 64.0, 66.0, 68.0"
Voz 2,13,"A4, G#4, A4, B4; G#4, F#4, G#4, A4, B4","3, 1, 1, 1, 1, 1, 1, 1, 2","69.0, 68.0, 69.0, 71.0, 68.0, 66.0, 68.0, 69.0, 71.0"
Voz 2,14,"C4, D4, E4, F4, G4, F4, E4; A4","1, 1, 1, 2, 1, 1, 1, 1","60.0, 62.0, 64.0, 65.0, 67.0, 65.0, 64.0, 69.0"
Voz 2,15,"D4; G4, A4, G4, F4, E4, E4, F#4, G4","3, 1, 1, 1, 1, 2, 1, 1, 1","62.0, 67.0, 69.0, 67.0, 65.0, 64.0, 64.0, 66.0, 67.0"
Voz 2,16,"G4, F#4, G#4, A4, A4, G4, A4, B4","3, 1, 1, 1, 2, 1, 1, 1","67.0, 66.0, 68.0, 69.0, 69.0, 67.0, 69.0, 71.0"
Voz 2,17,"C5, D5, C5, B4; E5; A4; D5, E5, D5, C5","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","72.0, 74.0, 72.0, 71.0, 76.0, 69.0, 74.0, 76.0, 74.0, 72.0"
Voz 2,18,"B4; G5; C#5, D5, E5; C#5, D5, E5","3, 1, 1, 1, 2, 1, 1, 1","71.0, 79.0, 73.0, 74.0, 76.0, 73.0, 74.0, 76.0"
Voz 2,19,"A4; E4, F#4, G4, A4, B4, A4","3, 1, 2, 1, 1, 1, 1","69.0, 64.0, 66.0, 67.0, 69.0, 71.0, 69.0"
Voz 2,20,"G4; C5; F#4; B4, B4, C5, B4, A4, G4, F#4, E4, D4","3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","67.0, 72.0, 66.0, 71.0, 71.0, 72.0, 71.0, 69.0, 67.0, 66.0, 64.0, 62.0"
