Voz,Compasso,Grupos (notas),Peso Métrico,Tensão Prolongacional
Voz 2,24,"64, 69, 69, 67, 67, 65, 67, 69","3, 1, 1, 1, 2, 1, 1, 1","64.0, 69.0, 69.0, 67.0, 67.0, 65.0, 67.0, 69.0"
Voz 2,25,"70, 72, 70, 69, 74, 67, 72, 72, 74, 72, 70","3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1","70.0, 72.0, 70.0, 69.0, 74.0, 67.0, 72.0, 72.0, 74.0, 72.0, 70.0"
Voz 2,26,"69, 70, 69, 67, 65, 67, 65, 64, 62, 62, 67","3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1","69.0, 70.0, 69.0, 67.0, 65.0, 67.0, 65.0, 64.0, 62.0, 62.0, 67.0"
Voz 2,27,"69, 77, 74","3, 1, 1","69.0, 77.0, 74.0"
Voz 3,4,"55, 57, 59, 60, 62, 60, 59, 64","1, 1, 1, 2, 1, 1, 1, 1","55.0, 57.0, 59.0, 60.0, 62.0, 60.0, 59.0, 64.0"
Voz 3,5,"57, 62, 64, 62, 60, 59, 60, 58","3, 1, 1, 1, 1, 2, 1, 1","57.0, 62.0, 64.0, 62.0, 60.0, 59.0, 60.0, 58.0"
Voz 3,6,"57, 62, 55, 60, 60, 57, 59, 60, 62","3, 1, 1, 1, 2, 1, 1, 1, 1","57.0, 62.0, 55.0, 60.0, 60.0, 57.0, 59.0, 60.0, 62.0"
Voz 3,7,"55, 55, 57, 59, 60, 62, 60","3, 1, 2, 1, 1, 1, 1","55.0, 55.0, 57.0, 59.0, 60.0, 62.0, 60.0"
Voz 3,8,"59, 64, 57, 62, 62, 64, 62, 60, 59, 64","3, 1, 1, 1, 2, 1, 1, 1, 1, 1","59.0, 64.0, 57.0, 62.0, 62.0, 64.0, 62.0, 60.0, 59.0, 64.0"
Voz 3,9,"64, 62, 62, 59, 60, 57, 64, 62, 60, 59","3, 1, 2, 1, 1, 1, 1, 1, 1, 1","64.0, 62.0, 62.0, 59.0, 60.0, 57.0, 64.0, 62.0, 60.0, 59.0"
Voz 3,10,"60, 57, 59, 60, 62, 60, 59, 57, 55","3, 1, 1, 1, 1, 1, 1, 1, 2","60.0, 57.0, 59.0, 60.0, 62.0, 60.0, 59.0, 57.0, 55.0"
Voz 3,12,"52, 54, 56, 57, 59, 57, 55, 60","1, 1, 1, 2, 1, 1, 1, 1","52.0, 54.0, 56.0, 57.0, 59.0, 57.0, 55.0, 60.0"
Voz 3,13,"54, 59, 60, 59, 57, 56, 57, 56","3, 1, 1, 1, 1, 2, 1, 1","54.0, 59.0, 60.0, 59.0, 57.0, 56.0, 57.0, 56.0"
Voz 3,14,"57, 55, 57, 59, 60, 62, 60","3, 1, 2, 1, 1, 1, 1","57.0, 55.0, 57.0, 59.0, 60.0, 62.0, 60.0"
Voz 3,15,"59, 64, 57, 62, 62, 55, 62","3, 1, 1, 1, 2, 1, 1","59.0, 64.0, 57.0, 62.0, 62.0, 55.0, 62.0"
Voz 3,16,"60, 57, 64, 62","3, 1, 1, 2","60.0, 57.0, 64.0, 62.0"
Voz 3,17,"57, 59, 61, 62, 64, 62, 60, 65","1, 1, 1, 2, 1, 1, 1, 1","57.0, 59.0, 61.0, 62.0, 64.0, 62.0, 60.0, 65.0"
Voz 3,18,"59, 64, 65, 64, 62, 61","3, 1, 1, 1, 1, 2","59.0, 64.0, 65.0, 64.0, 62.0, 61.0"
Voz 3,19,"57, 59, 61, 62, 64, 62, 60, 66","1, 1, 1, 2, 1, 1, 1, 1","57.0, 59.0, 61.0, 62.0, 64.0, 62.0, 60.0, 66.0"
Voz 3,20,"59, 64, 66, 64, 62, 60","3, 1, 1, 1, 1, 2","59.0, 64.0, 66.0, 64.0, 62.0, 60.0"
Voz 3,21,"62, 60, 59, 57, 55, 57, 54, 55, 59, 60, 62","1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1","62.0, 60.0, 59.0, 57.0, 55.0, 57.0, 54.0, 55.0, 59.0, 60.0, 62.0"
Voz 3,22,"64, 65, 64, 62, 67, 60, 65, 67, 65, 64","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","64.0, 65.0, 64.0, 62.0, 67.0, 60.0, 65.0, 67.0, 65.0, 64.0"
Voz 3,23,"62, 64, 62, 62, 55, 55","3, 1, 1, 2, 1, 1","62.0, 64.0, 62.0, 62.0, 55.0, 55.0"
Voz 3,24,"55, 48, 50, 52, 53, 55, 53, 52, 57","3, 1, 1, 1, 2, 1, 1, 1, 1","55.0, 48.0, 50.0, 52.0, 53.0, 55.0, 53.0, 52.0, 57.0"
Voz 3,25,"50, 55, 57, 55, 53, 52, 50, 52, 53, 55, 57, 58, 55","3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","50.0, 55.0, 57.0, 55.0, 53.0, 52.0, 50.0, 52.0, 53.0, 55.0, 57.0, 58.0, 55.0"
Voz 3,26,"57, 52, 53, 55, 57, 59, 60, 57, 62","3, 1, 1, 1, 1, 1, 1, 1, 2","57.0, 52.0, 53.0, 55.0, 57.0, 59.0, 60.0, 57.0, 62.0"
Voz 3,27,60,3,60.0
Voz 4,5,"48, 50, 52","1, 1, 1","48.0, 50.0, 52.0"
Voz 4,6,"53, 55, 53, 52, 57, 50, 55, 57, 55, 53","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","53.0, 55.0, 53.0, 52.0, 57.0, 50.0, 55.0, 57.0, 55.0, 53.0"
Voz 4,7,"52, 53, 52, 50, 48, 50, 48, 47, 45, 50, 57, 54","3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1","52.0, 53.0, 52.0, 50.0, 48.0, 50.0, 48.0, 47.0, 45.0, 50.0, 57.0, 54.0"
Voz 4,8,"55, 57, 58, 55, 49, 50, 57, 52","3, 1, 1, 1, 1, 1, 2, 1","55.0, 57.0, 58.0, 55.0, 49.0, 50.0, 57.0, 52.0"
Voz 4,9,"57, 59, 60, 62, 60, 59, 57, 55, 60","3, 1, 1, 1, 1, 1, 1, 1, 2","57.0, 59.0, 60.0, 62.0, 60.0, 59.0, 57.0, 55.0, 60.0"
Voz 4,10,"43, 45, 47","1, 1, 1","43.0, 45.0, 47.0"
Voz 4,11,"48, 50, 48, 47, 52, 45, 50, 52, 50, 48","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","48.0, 50.0, 48.0, 47.0, 52.0, 45.0, 50.0, 52.0, 50.0, 48.0"
Voz 4,12,"47, 52, 50, 48, 53, 52","3, 1, 1, 2, 1, 1","47.0, 52.0, 50.0, 48.0, 53.0, 52.0"
Voz 4,13,"52, 50, 52, 53, 52, 50, 52","3, 1, 1, 2, 1, 1, 1","52.0, 50.0, 52.0, 53.0, 52.0, 50.0, 52.0"
Voz 4,14,45,3,45.0
Voz 4,15,"43, 45, 47, 48, 50, 48, 47, 52","1, 1, 1, 2, 1, 1, 1, 1","43.0, 45.0, 47.0, 48.0, 50.0, 48.0, 47.0, 52.0"
Voz 4,16,"45, 50, 52, 50, 48, 47, 46, 45, 43","3, 1, 1, 1, 1, 2, 1, 1, 1","45.0, 50.0, 52.0, 50.0, 48.0, 47.0, 46.0, 45.0, 43.0"
Voz 4,17,"45, 54, 55, 52, 50, 52, 53","3, 1, 1, 1, 2, 1, 1","45.0, 54.0, 55.0, 52.0, 50.0, 52.0, 53.0"
Voz 4,18,"55, 57, 55, 53, 58, 52, 57, 59, 57, 55","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","55.0, 57.0, 55.0, 53.0, 58.0, 52.0, 57.0, 59.0, 57.0, 55.0"
Voz 4,19,"53, 52, 53, 50, 55, 57, 50","3, 1, 1, 1, 1, 1, 2","53.0, 52.0, 53.0, 50.0, 55.0, 57.0, 50.0"
Voz 4,20,"52, 50, 48, 47, 45, 43, 42, 40, 52, 54, 55","1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1","52.0, 50.0, 48.0, 47.0, 45.0, 43.0, 42.0, 40.0, 52.0, 54.0, 55.0"
Voz 4,21,"55, 57, 55, 54, 50, 55","3, 1, 1, 1, 1, 2","55.0, 57.0, 55.0, 54.0, 50.0, 55.0"
Voz 4,22,"55, 57, 59, 60","3, 2, 1, 1","55.0, 57.0, 59.0, 60.0"
Voz 4,23,"53, 57, 55, 53, 52, 50, 48, 47, 48, 50, 52, 53, 55, 43","3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1","53.0, 57.0, 55.0, 53.0, 52.0, 50.0, 48.0, 47.0, 48.0, 50.0, 52.0, 53.0, 55.0, 43.0"
Voz 4,24,48,3,48.0
Voz 4,25,48,3,48.0
Voz 4,26,48,3,48.0
Voz 4,27,48,3,48.0
